text,timestamp,user_id,company_mentioned,topic_discussed,true_sentiment
Worst experience ever with Geico's discounts. Would give zero stars if I could.,2023-01-01,8a8f7c2a,Geico,discounts,negative
Farmers increased my policy coverage premium by 39% for no reason! Complete waste of time and money.,2023-01-02,23ab99b7,Farmers,policy coverage,negative
Looking for feedback on Progressive for mobile app. What's been your experience with them?,2023-01-03,1641c652,Progressive,mobile app,neutral
Progressive's customer service is a joke when it comes to health insurance. Complete waste of time and money.,2023-01-05,aab6bcec,Progressive,health insurance,negative
Looking for feedback on Lemonade for discounts. Curious about others' experiences before I commit.,2023-01-05,98e926da,Lemonade,discounts,neutral
"Erie Insurance's insurance agents is worth every penny. The whole process was painless, which I wasn't expecting!",2023-01-08,31e57369,Erie Insurance,insurance agents,positive
"I've been with The Hartford for 10 years and their liability coverage has always been top-notch. Their mobile app is actually useful, unlike some other companies.",2023-01-09,1a43a1ee,The Hartford,liability coverage,positive
Switching away from Lemonade after their horrible handling of my bundling. Total ripoff!,2023-01-09,11018fe6,Lemonade,bundling,negative
Amica came through for me after my accident. Their health insurance coverage was exactly what I needed. Couldn't be happier with the service.,2023-01-10,3d53c87c,Amica,health insurance,positive
The claims process with USAA was surprisingly smooth. Will definitely be sticking with them for the foreseeable future.,2023-01-10,aebec7a6,USAA,online quotes,positive
Travelers increased my renters insurance premium by 42% for no reason! Currently shopping around for alternatives.,2023-01-11,b1d9f804,Travelers,renters insurance,negative
Been fighting with State Farm for 11 months over my roadside assistance claim. Complete waste of time and money.,2023-01-11,d7205bec,State Farm,roadside assistance,negative
Switching away from USAA after their horrible handling of my customer service. They're just looking for excuses not to pay.,2023-01-13,f028a897,USAA,customer service,negative
The claims process with Progressive was surprisingly smooth. They really came through when I needed them.,2023-01-14,4f581b82,Progressive,renewal,positive
Just got a quote from Erie Insurance for roadside assistance. Not sure what to think yet. Still weighing my options at this point.,2023-01-15,f8ca095b,Erie Insurance,roadside assistance,neutral
"After switching to Root, I'm saving 48 on my deductibles. Their mobile app is actually useful, unlike some other companies.",2023-01-16,af8bc690,Root,deductibles,positive
Don't believe The Hartford's advertisements about renewal. Spent hours on hold only to get nowhere.,2023-01-17,fd84ef4b,The Hartford,renewal,negative
I've been with Geico for 12 years and their insurance agents has always been top-notch. Will definitely be sticking with them for the foreseeable future.,2023-01-17,8e407d99,Geico,insurance agents,positive
Really impressed with Progressive's customer service when dealing with my premium increase. The agent was extremely helpful and knowledgeable.,2023-01-18,fa65a657,Progressive,premium increase,positive
"Can't recommend USAA enough for bundling. The whole process was painless, which I wasn't expecting!",2023-01-19,5bdf2559,USAA,bundling,positive
Worst experience ever with Lemonade's online quotes. Their agents don't seem to know their own policies.,2023-01-20,162829cb,Lemonade,online quotes,negative
Allstate increased my mobile app premium by 19% for no reason! Always some fine print they try to hide behind.,2023-01-20,756c3162,Allstate,mobile app,negative
I've been with USAA for 6 years and their auto insurance has always been top-notch. The agent was extremely helpful and knowledgeable.,2023-01-20,46358598,USAA,auto insurance,positive
Avoid Progressive at all costs! Their online quotes is terrible. Feels like they're actively trying to make things difficult.,2023-01-20,1126afc2,Progressive,online quotes,negative
Root's customer service is a joke when it comes to renters insurance. Complete waste of time and money.,2023-01-21,4dd3e000,Root,renters insurance,negative
The claims process with Allstate was surprisingly smooth. Highly recommend!,2023-01-21,e6e82d2b,Allstate,premium increase,positive
Has anyone had experience with Allstate's health insurance? Wondering if there are better options out there.,2023-01-21,a3932e33,Allstate,health insurance,neutral
Comparing roadside assistance between State Farm and Root. Trying to make sure I'm getting the best deal possible.,2023-01-22,caf4dfea,State Farm,roadside assistance,neutral
They denied my claim even though I've been paying for discounts coverage for years! Their agents don't seem to know their own policies.,2023-01-24,1fb0e717,Farmers,discounts,negative
Had to file a complaint with the insurance commissioner about Nationwide's bundling practices. Feels like they're actively trying to make things difficult.,2023-01-24,d5ab4302,Nationwide,bundling,negative
Anyone know if USAA will increase accident forgiveness rates after a minor theft? Wondering if there are better options out there.,2023-01-24,b089d9ac,USAA,accident forgiveness,neutral
Does Erie Insurance offer good renewal for someone in Ohio? Would appreciate any insights from current customers.,2023-01-25,953bffea,Erie Insurance,renewal,neutral
They denied my claim even though I've been paying for renewal coverage for years! Complete waste of time and money.,2023-01-26,8573e233,Erie Insurance,renewal,negative
Switching away from Lemonade after their horrible handling of my auto insurance. They're just looking for excuses not to pay.,2023-01-28,73783299,Lemonade,auto insurance,negative
What's the process for filing a deductibles claim with The Hartford? Any pros/cons would be helpful.,2023-01-28,cca8ea31,The Hartford,deductibles,neutral
Switching away from Allstate after their horrible handling of my bundling. Would give zero stars if I could.,2023-01-29,93f0b0aa,Allstate,bundling,negative
Been fighting with Geico for 7 months over my renters insurance claim. Complete waste of time and money.,2023-01-29,e8ee005c,Geico,renters insurance,negative
Don't believe State Farm's advertisements about underwriting. Always some fine print they try to hide behind.,2023-01-29,8b87d0d6,State Farm,underwriting,negative
Just got a quote from Liberty Mutual for liability coverage. Not sure what to think yet. Has anyone had a similar experience?,2023-01-30,43871eda,Liberty Mutual,liability coverage,neutral
Don't believe Farmers's advertisements about accident forgiveness. Spent hours on hold only to get nowhere.,2023-01-30,d4607ee9,Farmers,accident forgiveness,negative
Had to file a complaint with the insurance commissioner about Nationwide's insurance agents practices. Always some fine print they try to hide behind.,2023-02-01,390f7d0d,Nationwide,insurance agents,negative
Anyone else having issues with Farmers's auto insurance? Complete waste of time and money.,2023-02-02,72af1b22,Farmers,auto insurance,negative
Really impressed with Amica's customer service when dealing with my accident forgiveness. The agent was extremely helpful and knowledgeable.,2023-02-03,5235974c,Amica,accident forgiveness,positive
Finally found an insurance company that doesn't make everything difficult. Nationwide's insurance agents is straightforward. They really came through when I needed them.,2023-02-05,355ad330,Nationwide,insurance agents,positive
They denied my claim even though I've been paying for health insurance coverage for years! Always some fine print they try to hide behind.,2023-02-07,66afd124,Geico,health insurance,negative
Just got a quote from Amica for underwriting. Not sure what to think yet. What's been your experience with them?,2023-02-08,1c95442b,Amica,underwriting,neutral
"After switching to The Hartford, I'm saving 20 on my policy coverage. The whole process was painless, which I wasn't expecting!",2023-02-08,a03a557b,The Hartford,policy coverage,positive
Worst experience ever with Nationwide's bundling. Feels like they're actively trying to make things difficult.,2023-02-10,49a34213,Nationwide,bundling,negative
Anyone else having issues with State Farm's liability coverage? Their agents don't seem to know their own policies.,2023-02-10,8f5d38be,State Farm,liability coverage,negative
Geico's customer service is worth every penny. They processed everything quickly and efficiently.,2023-02-10,f433ff52,Geico,customer service,positive
Can't recommend Erie Insurance enough for mobile app. It was refreshing to deal with people who genuinely wanted to help.,2023-02-11,bcc8dbf2,Erie Insurance,mobile app,positive
Can't recommend Lemonade enough for discounts. The online portal makes everything so easy.,2023-02-12,26dfcf4a,Lemonade,discounts,positive
Switching away from Amica after their horrible handling of my health insurance. Feels like they're actively trying to make things difficult.,2023-02-13,b5cc61fe,Amica,health insurance,negative
USAA's renewal is worth every penny. They processed everything quickly and efficiently.,2023-02-13,19620448,USAA,renewal,positive
Anyone else having issues with Allstate's health insurance? Would give zero stars if I could.,2023-02-14,d5ce6fb1,Allstate,health insurance,negative
Just got a quote from Allstate for health insurance. Not sure what to think yet. Curious about others' experiences before I commit.,2023-02-14,9df093ad,Allstate,health insurance,neutral
Avoid Amica at all costs! Their customer service is terrible. Currently shopping around for alternatives.,2023-02-14,3b1ae2ba,Amica,customer service,negative
Had to file a complaint with the insurance commissioner about State Farm's home insurance practices. Total ripoff!,2023-02-16,241bc505,State Farm,home insurance,negative
Really impressed with Nationwide's customer service when dealing with my customer service. Highly recommend!,2023-02-17,c74a328a,Nationwide,customer service,positive
"State Farm's deductibles is worth every penny. The whole process was painless, which I wasn't expecting!",2023-02-17,9fa8a8bc,State Farm,deductibles,positive
Just got a quote from American Family for customer service. Not sure what to think yet. Would appreciate any insights from current customers.,2023-02-17,8043abe3,American Family,customer service,neutral
Travelers's customer service is a joke when it comes to auto insurance. Would give zero stars if I could.,2023-02-19,22923a8c,Travelers,auto insurance,negative
Can't recommend USAA enough for deductibles. Will definitely be sticking with them for the foreseeable future.,2023-02-19,aacceb2f,USAA,deductibles,positive
Avoid Amica at all costs! Their mobile app is terrible. Complete waste of time and money.,2023-02-20,a809de13,Amica,mobile app,negative
Comparing health insurance between Nationwide and Geico. Curious about others' experiences before I commit.,2023-02-21,79869c63,Nationwide,health insurance,neutral
Geico's customer service is a joke when it comes to liability coverage. Will be filing a complaint with my state insurance board.,2023-02-22,1cf15c0b,Geico,liability coverage,negative
"Finally found an insurance company that doesn't make everything difficult. Progressive's policy coverage is straightforward. The whole process was painless, which I wasn't expecting!",2023-02-22,d83511e5,Progressive,policy coverage,positive
Really impressed with Amica's customer service when dealing with my bundling. Couldn't be happier with the service.,2023-02-22,6f1f33f2,Amica,bundling,positive
Anyone know if The Hartford will increase online quotes rates after a minor fire? Has anyone had a similar experience?,2023-02-22,22ff8575,The Hartford,online quotes,neutral
Looking for feedback on Progressive for claims process. What's been your experience with them?,2023-02-22,6526c089,Progressive,claims process,neutral
Anyone know if The Hartford will increase deductibles rates after a minor accident? Curious about others' experiences before I commit.,2023-02-22,67421071,The Hartford,deductibles,neutral
Switching away from Nationwide after their horrible handling of my bundling. Total ripoff!,2023-02-22,594bc34c,Nationwide,bundling,negative
Anyone know if Nationwide will increase claims process rates after a minor theft? Trying to make sure I'm getting the best deal possible.,2023-02-23,9069adb6,Nationwide,claims process,neutral
Don't believe Geico's advertisements about liability coverage. Would give zero stars if I could.,2023-02-24,4208f5ef,Geico,liability coverage,negative
Worst experience ever with The Hartford's home insurance. Feels like they're actively trying to make things difficult.,2023-02-24,caf791ad,The Hartford,home insurance,negative
Anyone else having issues with State Farm's health insurance? Would give zero stars if I could.,2023-02-24,ad3b7b3f,State Farm,health insurance,negative
Researching policy coverage options and considering USAA. Still weighing my options at this point.,2023-02-25,b7a56097,USAA,policy coverage,neutral
The claims process with Geico was surprisingly smooth. Highly recommend!,2023-02-25,75a7f817,Geico,discounts,positive
Anyone know if Liberty Mutual will increase bundling rates after a minor hail damage? Curious about others' experiences before I commit.,2023-02-28,8f4c3e57,Liberty Mutual,bundling,neutral
Been fighting with Erie Insurance for 8 months over my roadside assistance claim. Will be filing a complaint with my state insurance board.,2023-03-01,14291a54,Erie Insurance,roadside assistance,negative
State Farm's customer service is a joke when it comes to accident forgiveness. Complete waste of time and money.,2023-03-02,88f54448,State Farm,accident forgiveness,negative
Just got a quote from Geico for underwriting. Not sure what to think yet. Wondering if there are better options out there.,2023-03-03,c2c9bca4,Geico,underwriting,neutral
New policy with Amica starts next month. Any tips regarding their life insurance? Still weighing my options at this point.,2023-03-05,81bddb50,Amica,life insurance,neutral
Had to file a complaint with the insurance commissioner about Amica's renters insurance practices. Would give zero stars if I could.,2023-03-06,21cb051c,Amica,renters insurance,negative
Worst experience ever with USAA's discounts. Would give zero stars if I could.,2023-03-11,124a87a3,USAA,discounts,negative
Really impressed with USAA's customer service when dealing with my renewal. They really came through when I needed them.,2023-03-11,adbeae80,USAA,renewal,positive
My agent at The Hartford went above and beyond with my accident forgiveness issue. It was refreshing to deal with people who genuinely wanted to help.,2023-03-12,2c0b70a5,The Hartford,accident forgiveness,positive
Researching claims process options and considering USAA. Just doing my research before making a decision.,2023-03-14,7b2c5d7c,USAA,claims process,neutral
How long have you been with Liberty Mutual for your health insurance? Wondering if there are better options out there.,2023-03-14,93a58d64,Liberty Mutual,health insurance,neutral
Really impressed with Progressive's customer service when dealing with my home insurance. The online portal makes everything so easy.,2023-03-16,6b831815,Progressive,home insurance,positive
Lemonade's home insurance is worth every penny. It was refreshing to deal with people who genuinely wanted to help.,2023-03-16,53d1731f,Lemonade,home insurance,positive
They denied my claim even though I've been paying for life insurance coverage for years! Complete waste of time and money.,2023-03-18,ee25aac0,State Farm,life insurance,negative
How long have you been with Liberty Mutual for your auto insurance? Curious about others' experiences before I commit.,2023-03-18,c75632d3,Liberty Mutual,auto insurance,neutral
They denied my claim even though I've been paying for online quotes coverage for years! Feels like they're actively trying to make things difficult.,2023-03-18,105e1b9f,The Hartford,online quotes,negative
What's the process for filing a life insurance claim with Farmers? Any pros/cons would be helpful.,2023-03-20,4bf10841,Farmers,life insurance,neutral
Don't believe Geico's advertisements about deductibles. Currently shopping around for alternatives.,2023-03-22,c66c8af5,Geico,deductibles,negative
Finally found an insurance company that doesn't make everything difficult. Travelers's customer service is straightforward. Highly recommend!,2023-03-22,3c9ffa79,Travelers,customer service,positive
Worst experience ever with State Farm's accident forgiveness. Total ripoff!,2023-03-24,35b15699,State Farm,accident forgiveness,negative
"The claims process with Nationwide was surprisingly smooth. Their mobile app is actually useful, unlike some other companies.",2023-03-25,2bf64420,Nationwide,roadside assistance,positive
Researching bundling options and considering Nationwide. Curious about others' experiences before I commit.,2023-03-26,0fe98b88,Nationwide,bundling,neutral
Been fighting with Amica for 2 months over my discounts claim. Their agents don't seem to know their own policies.,2023-03-27,4def235b,Amica,discounts,negative
How long have you been with State Farm for your liability coverage? Has anyone had a similar experience?,2023-03-27,0af7a29b,State Farm,liability coverage,neutral
Finally found an insurance company that doesn't make everything difficult. Geico's customer service is straightforward. The online portal makes everything so easy.,2023-03-28,7ca148cb,Geico,customer service,positive
Researching accident forgiveness options and considering State Farm. Still weighing my options at this point.,2023-03-31,92513620,State Farm,accident forgiveness,neutral
USAA's customer service is a joke when it comes to home insurance. Total ripoff!,2023-03-31,706c97b8,USAA,home insurance,negative
Been fighting with Root for 3 months over my renewal claim. They're just looking for excuses not to pay.,2023-04-02,4b2c071d,Root,renewal,negative
Avoid Geico at all costs! Their auto insurance is terrible. They're just looking for excuses not to pay.,2023-04-02,8f5abadc,Geico,auto insurance,negative
Researching online quotes options and considering Farmers. Wondering if there are better options out there.,2023-04-03,bfa5e510,Farmers,online quotes,neutral
Had to file a complaint with the insurance commissioner about Travelers's bundling practices. Their agents don't seem to know their own policies.,2023-04-03,45d40d39,Travelers,bundling,negative
I've been with USAA for 14 years and their deductibles has always been top-notch. The online portal makes everything so easy.,2023-04-07,d70fcdd9,USAA,deductibles,positive
Finally found an insurance company that doesn't make everything difficult. Farmers's deductibles is straightforward. They really came through when I needed them.,2023-04-08,81a50342,Farmers,deductibles,positive
Amica's customer service is a joke when it comes to online quotes. Currently shopping around for alternatives.,2023-04-10,041225ca,Amica,online quotes,negative
Had to file a complaint with the insurance commissioner about American Family's roadside assistance practices. Will be filing a complaint with my state insurance board.,2023-04-10,77135d03,American Family,roadside assistance,negative
Been fighting with Allstate for 2 months over my renters insurance claim. Always some fine print they try to hide behind.,2023-04-11,a14e115c,Allstate,renters insurance,negative
Looking for feedback on Travelers for renewal. Curious about others' experiences before I commit.,2023-04-12,ecf0cd3d,Travelers,renewal,neutral
Avoid USAA at all costs! Their renters insurance is terrible. Spent hours on hold only to get nowhere.,2023-04-13,e1eaedfa,USAA,renters insurance,negative
Switching away from USAA after their horrible handling of my health insurance. They're just looking for excuses not to pay.,2023-04-13,13d11bd2,USAA,health insurance,negative
Been fighting with Travelers for 8 months over my renewal claim. Total ripoff!,2023-04-15,e3deba52,Travelers,renewal,negative
Avoid Travelers at all costs! Their mobile app is terrible. Their agents don't seem to know their own policies.,2023-04-15,ef20b4a2,Travelers,mobile app,negative
"Just had a great experience with American Family! Their online quotes is excellent. Their mobile app is actually useful, unlike some other companies.",2023-04-19,b2596f3d,American Family,online quotes,positive
Worst experience ever with Nationwide's premium increase. Will be filing a complaint with my state insurance board.,2023-04-22,2ff85a37,Nationwide,premium increase,negative
Has anyone had experience with Lemonade's bundling? Any pros/cons would be helpful.,2023-04-23,9852b186,Lemonade,bundling,neutral
Don't believe Amica's advertisements about claims process. Currently shopping around for alternatives.,2023-04-23,f0ab7776,Amica,claims process,negative
Avoid Erie Insurance at all costs! Their health insurance is terrible. Their agents don't seem to know their own policies.,2023-04-24,74dd006c,Erie Insurance,health insurance,negative
They denied my claim even though I've been paying for customer service coverage for years! Complete waste of time and money.,2023-04-24,af6119a5,State Farm,customer service,negative
American Family's insurance agents is worth every penny. Will definitely be sticking with them for the foreseeable future.,2023-04-25,d926003c,American Family,insurance agents,positive
Does Allstate offer good liability coverage for someone in California? Wondering if there are better options out there.,2023-04-25,cf9c70be,Allstate,liability coverage,neutral
Lemonade increased my liability coverage premium by 47% for no reason! Their agents don't seem to know their own policies.,2023-04-26,df8774cc,Lemonade,liability coverage,negative
Researching insurance agents options and considering Lemonade. Would appreciate any insights from current customers.,2023-04-27,4d56155a,Lemonade,insurance agents,neutral
Switching away from Progressive after their horrible handling of my claims process. Would give zero stars if I could.,2023-04-27,3e4583ec,Progressive,claims process,negative
Switching away from The Hartford after their horrible handling of my health insurance. Will be filing a complaint with my state insurance board.,2023-04-29,23f0f5b2,The Hartford,health insurance,negative
Finally found an insurance company that doesn't make everything difficult. Allstate's policy coverage is straightforward. They really came through when I needed them.,2023-04-30,6043d448,Allstate,policy coverage,positive
"After switching to Allstate, I'm saving 26 on my liability coverage. The online portal makes everything so easy.",2023-05-02,e098a8e0,Allstate,liability coverage,positive
How long have you been with Lemonade for your renewal? Not sure if it's worth switching from my current provider.,2023-05-03,28b53519,Lemonade,renewal,neutral
My agent at Nationwide went above and beyond with my discounts issue. Will definitely be sticking with them for the foreseeable future.,2023-05-04,de727f70,Nationwide,discounts,positive
Comparing discounts between Nationwide and Erie Insurance. Curious about others' experiences before I commit.,2023-05-05,c9c8ae8b,Nationwide,discounts,neutral
Has anyone had experience with Allstate's renters insurance? Would appreciate any insights from current customers.,2023-05-06,05405733,Allstate,renters insurance,neutral
I've been with Progressive for 10 years and their life insurance has always been top-notch. The agent was extremely helpful and knowledgeable.,2023-05-07,a9670b39,Progressive,life insurance,positive
Researching bundling options and considering Allstate. Trying to make sure I'm getting the best deal possible.,2023-05-07,4ec81a78,Allstate,bundling,neutral
Has anyone had experience with The Hartford's life insurance? Just doing my research before making a decision.,2023-05-08,ff04fcea,The Hartford,life insurance,neutral
What's the process for filing a policy coverage claim with Lemonade? Trying to make sure I'm getting the best deal possible.,2023-05-08,23b3f419,Lemonade,policy coverage,neutral
Has anyone had experience with Root's liability coverage? Just doing my research before making a decision.,2023-05-09,59189312,Root,liability coverage,neutral
Nationwide's customer service is a joke when it comes to customer service. Feels like they're actively trying to make things difficult.,2023-05-12,7e0b9f5d,Nationwide,customer service,negative
"The claims process with Allstate was surprisingly smooth. Their mobile app is actually useful, unlike some other companies.",2023-05-12,57bb4e4f,Allstate,underwriting,positive
How long have you been with USAA for your discounts? Not sure if it's worth switching from my current provider.,2023-05-14,937e3f49,USAA,discounts,neutral
The claims process with Progressive was surprisingly smooth. The online portal makes everything so easy.,2023-05-14,c7559840,Progressive,customer service,positive
Just had a great experience with Progressive! Their insurance agents is excellent. The agent was extremely helpful and knowledgeable.,2023-05-16,7946af02,Progressive,insurance agents,positive
Progressive increased my accident forgiveness premium by 12% for no reason! Currently shopping around for alternatives.,2023-05-16,2980fdee,Progressive,accident forgiveness,negative
Had to file a complaint with the insurance commissioner about Allstate's online quotes practices. Feels like they're actively trying to make things difficult.,2023-05-16,33bdb057,Allstate,online quotes,negative
Researching home insurance options and considering Root. Still weighing my options at this point.,2023-05-16,a6d30eed,Root,home insurance,neutral
Geico increased my renewal premium by 14% for no reason! Currently shopping around for alternatives.,2023-05-16,b5e3c895,Geico,renewal,negative
Anyone else having issues with The Hartford's liability coverage? Complete waste of time and money.,2023-05-16,a132abba,The Hartford,liability coverage,negative
Really impressed with USAA's customer service when dealing with my roadside assistance. They processed everything quickly and efficiently.,2023-05-18,9573ffed,USAA,roadside assistance,positive
Has anyone had experience with Travelers's mobile app? Any pros/cons would be helpful.,2023-05-19,6fe61134,Travelers,mobile app,neutral
Switching away from American Family after their horrible handling of my accident forgiveness. Spent hours on hold only to get nowhere.,2023-05-21,a1326444,American Family,accident forgiveness,negative
They denied my claim even though I've been paying for auto insurance coverage for years! Feels like they're actively trying to make things difficult.,2023-05-22,9960ac0c,Farmers,auto insurance,negative
Finally found an insurance company that doesn't make everything difficult. American Family's policy coverage is straightforward. Will definitely be sticking with them for the foreseeable future.,2023-05-23,87d00bfb,American Family,policy coverage,positive
Switching away from Allstate after their horrible handling of my discounts. Would give zero stars if I could.,2023-05-24,9f796765,Allstate,discounts,negative
Switching away from Progressive after their horrible handling of my premium increase. Currently shopping around for alternatives.,2023-05-24,70163dc5,Progressive,premium increase,negative
Just had a great experience with USAA! Their accident forgiveness is excellent. They processed everything quickly and efficiently.,2023-05-27,81e22b9d,USAA,accident forgiveness,positive
Has anyone had experience with Erie Insurance's claims process? Wondering if there are better options out there.,2023-05-27,31c662ca,Erie Insurance,claims process,neutral
"Just had a great experience with USAA! Their renters insurance is excellent. Their mobile app is actually useful, unlike some other companies.",2023-05-27,228cd983,USAA,renters insurance,positive
Really impressed with Farmers's customer service when dealing with my bundling. Will definitely be sticking with them for the foreseeable future.,2023-05-28,fb3763c4,Farmers,bundling,positive
They denied my claim even though I've been paying for life insurance coverage for years! Total ripoff!,2023-05-29,fc77045b,Allstate,life insurance,negative
The claims process with Erie Insurance was surprisingly smooth. They processed everything quickly and efficiently.,2023-05-31,c4fef4b0,Erie Insurance,liability coverage,positive
Really impressed with American Family's customer service when dealing with my bundling. Couldn't be happier with the service.,2023-05-31,09087841,American Family,bundling,positive
Switching away from The Hartford after their horrible handling of my customer service. Total ripoff!,2023-05-31,047a2d43,The Hartford,customer service,negative
